128 6432 
7 29 0
7 27 0
7 26 0
7 24 0
7 23 0
7 19 0
7 18 0
7 15 0
7 13 0
7 12 0
7 9 0
7 6 0
7 5 0
7 1 0
7 0 0
8 123 0
8 111 0
8 103 0
8 86 0
8 84 0
8 80 0
8 76 0
8 62 0
8 58 0
8 53 0
8 49 0
8 48 0
8 47 0
8 41 0
8 39 0
8 28 0
8 25 0
8 20 0
8 17 0
8 16 0
8 14 0
8 10 0
8 4 0
8 3 0
8 2 0
9 127 0
9 126 0
9 125 0
9 122 0
9 121 0
9 117 0
9 115 0
9 114 0
9 113 0
9 112 0
9 110 0
9 109 0
9 106 0
9 99 0
9 98 0
9 95 0
9 93 0
9 92 0
9 91 0
9 90 0
9 88 0
9 87 0
9 85 0
9 83 0
9 82 0
9 81 0
9 75 0
9 74 0
9 72 0
9 70 0
9 69 0
9 68 0
9 67 0
9 65 0
9 63 0
9 61 0
9 60 0
9 59 0
9 57 0
9 55 0
9 52 0
9 51 0
9 45 0
9 44 0
9 42 0
9 40 0
9 37 0
9 35 0
9 29 0
9 27 0
9 26 0
9 24 0
9 23 0
9 22 0
9 21 0
9 19 0
9 18 0
9 13 0
9 12 0
9 7 0
9 6 0
9 5 0
9 1 0
10 123 0
10 103 0
10 84 0
10 80 0
10 62 0
10 58 0
10 49 0
10 48 0
10 41 0
10 39 0
10 34 0
10 25 0
10 20 0
10 17 0
10 16 0
10 8 0
10 4 0
10 3 0
10 2 0
11 127 0
11 124 0
11 120 0
11 119 0
11 118 0
11 116 0
11 113 0
11 111 0
11 109 0
11 108 0
11 107 0
11 104 0
11 102 0
11 101 0
11 97 0
11 96 0
11 89 0
11 86 0
11 79 0
11 78 0
11 77 0
11 73 0
11 71 0
11 66 0
11 56 0
11 54 0
11 47 0
11 46 0
11 43 0
11 38 0
11 36 0
11 34 0
11 32 0
11 31 0
11 30 0
11 28 0
11 26 0
11 15 0
11 4 0
11 2 0
11 0 0
12 127 0
12 126 0
12 125 0
12 122 0
12 121 0
12 115 0
12 114 0
12 112 0
12 110 0
12 107 0
12 106 0
12 105 0
12 102 0
12 95 0
12 94 0
12 93 0
12 92 0
12 91 0
12 90 0
12 88 0
12 87 0
12 85 0
12 83 0
12 81 0
12 75 0
12 74 0
12 70 0
12 69 0
12 68 0
12 67 0
12 66 0
12 65 0
12 63 0
12 61 0
12 60 0
12 59 0
12 57 0
12 56 0
12 55 0
12 54 0
12 52 0
12 51 0
12 44 0
12 40 0
12 37 0
12 29 0
12 27 0
12 26 0
12 24 0
12 23 0
12 22 0
12 19 0
12 9 0
12 7 0
12 5 0
12 1 0
13 127 0
13 126 0
13 125 0
13 124 0
13 122 0
13 117 0
13 116 0
13 115 0
13 114 0
13 113 0
13 112 0
13 109 0
13 107 0
13 106 0
13 104 0
13 100 0
13 99 0
13 98 0
13 96 0
13 93 0
13 92 0
13 91 0
13 90 0
13 89 0
13 87 0
13 85 0
13 82 0
13 81 0
13 78 0
13 77 0
13 75 0
13 74 0
13 73 0
13 72 0
13 68 0
13 67 0
13 65 0
13 64 0
13 61 0
13 57 0
13 52 0
13 51 0
13 50 0
13 45 0
13 44 0
13 42 0
13 38 0
13 37 0
13 29 0
13 27 0
13 26 0
13 24 0
13 23 0
13 19 0
13 18 0
13 9 0
13 7 0
13 6 0
13 1 0
14 123 0
14 111 0
14 103 0
14 76 0
14 58 0
14 53 0
14 48 0
14 47 0
14 39 0
14 36 0
14 28 0
14 25 0
14 20 0
14 17 0
14 8 0
14 4 0
14 3 0
14 2 0
15 127 0
15 124 0
15 120 0
15 119 0
15 116 0
15 113 0
15 109 0
15 108 0
15 107 0
15 104 0
15 101 0
15 100 0
15 99 0
15 97 0
15 96 0
15 89 0
15 86 0
15 79 0
15 78 0
15 77 0
15 73 0
15 72 0
15 64 0
15 50 0
15 47 0
15 46 0
15 43 0
15 42 0
15 38 0
15 36 0
15 34 0
15 33 0
15 32 0
15 31 0
15 30 0
15 26 0
15 18 0
15 11 0
15 7 0
15 4 0
15 2 0
15 0 0
16 103 0
16 84 0
16 80 0
16 62 0
16 58 0
16 49 0
16 48 0
16 41 0
16 20 0
16 10 0
16 8 0
16 3 0
16 2 0
17 123 0
17 111 0
17 103 0
17 86 0
17 84 0
17 80 0
17 76 0
17 62 0
17 58 0
17 53 0
17 49 0
17 48 0
17 47 0
17 41 0
17 39 0
17 28 0
17 25 0
17 20 0
17 14 0
17 10 0
17 8 0
17 4 0
17 3 0
17 2 0
18 127 0
18 125 0
18 124 0
18 122 0
18 121 0
18 120 0
18 116 0
18 114 0
18 113 0
18 112 0
18 109 0
18 108 0
18 107 0
18 106 0
18 104 0
18 101 0
18 100 0
18 99 0
18 98 0
18 96 0
18 93 0
18 91 0
18 90 0
18 89 0
18 87 0
18 82 0
18 79 0
18 78 0
18 77 0
18 75 0
18 74 0
18 73 0
18 72 0
18 68 0
18 67 0
18 66 0
18 65 0
18 64 0
18 63 0
18 61 0
18 57 0
18 51 0
18 50 0
18 44 0
18 42 0
18 38 0
18 33 0
18 32 0
18 29 0
18 27 0
18 26 0
18 19 0
18 15 0
18 13 0
18 9 0
18 7 0
18 6 0
18 1 0
18 0 0
19 127 0
19 126 0
19 125 0
19 122 0
19 121 0
19 117 0
19 115 0
19 114 0
19 113 0
19 112 0
19 110 0
19 109 0
19 106 0
19 100 0
19 99 0
19 98 0
19 95 0
19 93 0
19 92 0
19 91 0
19 90 0
19 88 0
19 87 0
19 85 0
19 83 0
19 82 0
19 81 0
19 75 0
19 74 0
19 72 0
19 70 0
19 68 0
19 67 0
19 65 0
19 63 0
19 61 0
19 60 0
19 57 0
19 52 0
19 51 0
19 45 0
19 44 0
19 42 0
19 40 0
19 38 0
19 37 0
19 35 0
19 29 0
19 27 0
19 26 0
19 24 0
19 23 0
19 21 0
19 18 0
19 13 0
19 12 0
19 9 0
19 7 0
19 6 0
19 5 0
19 1 0
20 123 0
20 111 0
20 103 0
20 86 0
20 84 0
20 80 0
20 76 0
20 62 0
20 58 0
20 53 0
20 49 0
20 48 0
20 47 0
20 41 0
20 39 0
20 28 0
20 25 0
20 17 0
20 16 0
20 14 0
20 10 0
20 8 0
20 4 0
20 3 0
20 2 0
21 126 0
21 125 0
21 122 0
21 117 0
21 115 0
21 114 0
21 112 0
21 110 0
21 106 0
21 98 0
21 93 0
21 92 0
21 91 0
21 90 0
21 85 0
21 83 0
21 82 0
21 81 0
21 74 0
21 68 0
21 67 0
21 65 0
21 61 0
21 60 0
21 57 0
21 52 0
21 51 0
21 45 0
21 44 0
21 40 0
21 37 0
21 35 0
21 29 0
21 27 0
21 24 0
21 23 0
21 19 0
21 9 0
21 6 0
21 1 0
22 127 0
22 126 0
22 125 0
22 122 0
22 121 0
22 118 0
22 112 0
22 110 0
22 109 0
22 108 0
22 107 0
22 106 0
22 105 0
22 102 0
22 97 0
22 95 0
22 94 0
22 92 0
22 91 0
22 90 0
22 88 0
22 87 0
22 83 0
22 75 0
22 74 0
22 71 0
22 70 0
22 69 0
22 67 0
22 66 0
22 65 0
22 63 0
22 61 0
22 59 0
22 56 0
22 55 0
22 54 0
22 51 0
22 44 0
22 43 0
22 40 0
22 27 0
22 26 0
22 23 0
22 12 0
22 9 0
22 5 0
22 1 0
22 0 0
23 127 0
23 126 0
23 125 0
23 122 0
23 121 0
23 117 0
23 115 0
23 114 0
23 112 0
23 110 0
23 106 0
23 99 0
23 98 0
23 95 0
23 93 0
23 92 0
23 91 0
23 90 0
23 88 0
23 87 0
23 85 0
23 83 0
23 82 0
23 81 0
23 75 0
23 74 0
23 72 0
23 70 0
23 69 0
23 68 0
23 67 0
23 65 0
23 63 0
23 61 0
23 60 0
23 59 0
23 57 0
23 52 0
23 51 0
23 45 0
23 44 0
23 42 0
23 40 0
23 37 0
23 35 0
23 29 0
23 27 0
23 26 0
23 24 0
23 22 0
23 21 0
23 19 0
23 13 0
23 12 0
23 9 0
23 7 0
23 6 0
23 5 0
23 1 0
24 127 0
24 126 0
24 125 0
24 122 0
24 117 0
24 115 0
24 114 0
24 112 0
24 110 0
24 106 0
24 99 0
24 98 0
24 95 0
24 93 0
24 92 0
24 91 0
24 90 0
24 87 0
24 85 0
24 83 0
24 82 0
24 81 0
24 75 0
24 74 0
24 72 0
24 70 0
24 68 0
24 67 0
24 65 0
24 61 0
24 60 0
24 57 0
24 52 0
24 51 0
24 45 0
24 44 0
24 42 0
24 40 0
24 37 0
24 35 0
24 29 0
24 27 0
24 26 0
24 23 0
24 21 0
24 19 0
24 13 0
24 12 0
24 9 0
24 7 0
24 6 0
24 1 0
25 123 0
25 111 0
25 103 0
25 86 0
25 84 0
25 80 0
25 76 0
25 62 0
25 58 0
25 53 0
25 49 0
25 48 0
25 47 0
25 41 0
25 39 0
25 28 0
25 20 0
25 17 0
25 14 0
25 10 0
25 8 0
25 4 0
25 3 0
25 2 0
26 127 0
26 126 0
26 125 0
26 124 0
26 122 0
26 121 0
26 119 0
26 118 0
26 116 0
26 115 0
26 114 0
26 113 0
26 112 0
26 110 0
26 109 0
26 108 0
26 107 0
26 106 0
26 104 0
26 102 0
26 101 0
26 100 0
26 99 0
26 98 0
26 97 0
26 96 0
26 95 0
26 93 0
26 92 0
26 91 0
26 90 0
26 89 0
26 88 0
26 87 0
26 83 0
26 82 0
26 79 0
26 78 0
26 77 0
26 75 0
26 74 0
26 73 0
26 72 0
26 71 0
26 70 0
26 69 0
26 68 0
26 67 0
26 66 0
26 65 0
26 64 0
26 63 0
26 61 0
26 59 0
26 57 0
26 56 0
26 54 0
26 52 0
26 51 0
26 45 0
26 44 0
26 43 0
26 42 0
26 40 0
26 38 0
26 37 0
26 32 0
26 31 0
26 30 0
26 29 0
26 27 0
26 24 0
26 23 0
26 22 0
26 19 0
26 18 0
26 15 0
26 13 0
26 12 0
26 11 0
26 9 0
26 7 0
26 6 0
26 5 0
26 1 0
26 0 0
27 127 0
27 126 0
27 125 0
27 124 0
27 122 0
27 121 0
27 117 0
27 116 0
27 115 0
27 114 0
27 113 0
27 112 0
27 110 0
27 109 0
27 108 0
27 107 0
27 106 0
27 104 0
27 101 0
27 100 0
27 99 0
27 98 0
27 96 0
27 95 0
27 93 0
27 92 0
27 91 0
27 90 0
27 89 0
27 88 0
27 87 0
27 85 0
27 83 0
27 82 0
27 81 0
27 79 0
27 78 0
27 77 0
27 75 0
27 74 0
27 73 0
27 72 0
27 70 0
27 69 0
27 68 0
27 67 0
27 66 0
27 65 0
27 64 0
27 63 0
27 61 0
27 60 0
27 57 0
27 54 0
27 52 0
27 51 0
27 45 0
27 44 0
27 42 0
27 40 0
27 38 0
27 37 0
27 35 0
27 29 0
27 26 0
27 24 0
27 23 0
27 22 0
27 21 0
27 19 0
27 18 0
27 13 0
27 12 0
27 9 0
27 7 0
27 6 0
27 5 0
27 1 0
27 0 0
28 123 0
28 111 0
28 103 0
28 86 0
28 76 0
28 58 0
28 53 0
28 48 0
28 47 0
28 46 0
28 39 0
28 36 0
28 31 0
28 25 0
28 20 0
28 17 0
28 14 0
28 11 0
28 8 0
28 4 0
28 3 0
28 2 0
29 127 0
29 126 0
29 125 0
29 122 0
29 121 0
29 117 0
29 115 0
29 114 0
29 113 0
29 112 0
29 110 0
29 106 0
29 99 0
29 98 0
29 95 0
29 93 0
29 92 0
29 91 0
29 90 0
29 88 0
29 87 0
29 85 0
29 83 0
29 82 0
29 81 0
29 75 0
29 74 0
29 72 0
29 70 0
29 69 0
29 68 0
29 67 0
29 65 0
29 63 0
29 61 0
29 60 0
29 59 0
29 57 0
29 52 0
29 51 0
29 45 0
29 44 0
29 42 0
29 40 0
29 37 0
29 35 0
29 27 0
29 26 0
29 24 0
29 23 0
29 21 0
29 19 0
29 18 0
29 13 0
29 12 0
29 9 0
29 7 0
29 6 0
29 5 0
29 1 0
30 127 0
30 124 0
30 121 0
30 119 0
30 118 0
30 116 0
30 113 0
30 111 0
30 109 0
30 108 0
30 107 0
30 104 0
30 102 0
30 101 0
30 97 0
30 96 0
30 89 0
30 87 0
30 79 0
30 78 0
30 77 0
30 75 0
30 73 0
30 71 0
30 69 0
30 66 0
30 63 0
30 56 0
30 54 0
30 46 0
30 43 0
30 42 0
30 38 0
30 36 0
30 32 0
30 31 0
30 26 0
30 15 0
30 11 0
30 0 0
31 127 0
31 120 0
31 119 0
31 116 0
31 113 0
31 111 0
31 109 0
31 108 0
31 107 0
31 104 0
31 102 0
31 101 0
31 97 0
31 96 0
31 89 0
31 86 0
31 79 0
31 78 0
31 73 0
31 71 0
31 64 0
31 56 0
31 54 0
31 47 0
31 46 0
31 43 0
31 38 0
31 36 0
31 34 0
31 32 0
31 30 0
31 28 0
31 26 0
31 15 0
31 11 0
31 4 0
31 2 0
31 0 0
32 127 0
32 124 0
32 120 0
32 119 0
32 116 0
32 113 0
32 111 0
32 109 0
32 108 0
32 107 0
32 104 0
32 102 0
32 101 0
32 100 0
32 99 0
32 97 0
32 96 0
32 90 0
32 89 0
32 87 0
32 86 0
32 79 0
32 78 0
32 77 0
32 75 0
32 73 0
32 72 0
32 71 0
32 64 0
32 61 0
32 56 0
32 54 0
32 50 0
32 47 0
32 46 0
32 43 0
32 42 0
32 38 0
32 36 0
32 34 0
32 33 0
32 31 0
32 30 0
32 26 0
32 18 0
32 15 0
32 11 0
32 7 0
32 4 0
32 2 0
32 0 0
33 124 0
33 120 0
33 116 0
33 113 0
33 104 0
33 100 0
33 96 0
33 86 0
33 80 0
33 77 0
33 73 0
33 72 0
33 64 0
33 62 0
33 50 0
33 49 0
33 38 0
33 34 0
33 32 0
33 18 0
33 15 0
33 2 0
34 124 0
34 120 0
34 116 0
34 113 0
34 104 0
34 101 0
34 96 0
34 89 0
34 86 0
34 80 0
34 79 0
34 78 0
34 77 0
34 73 0
34 64 0
34 62 0
34 50 0
34 49 0
34 47 0
34 46 0
34 41 0
34 38 0
34 36 0
34 33 0
34 32 0
34 31 0
34 15 0
34 11 0
34 10 0
34 4 0
34 2 0
35 126 0
35 125 0
35 122 0
35 117 0
35 115 0
35 114 0
35 112 0
35 110 0
35 106 0
35 98 0
35 95 0
35 93 0
35 92 0
35 91 0
35 90 0
35 87 0
35 85 0
35 83 0
35 82 0
35 81 0
35 74 0
35 68 0
35 67 0
35 65 0
35 61 0
35 60 0
35 57 0
35 52 0
35 51 0
35 45 0
35 44 0
35 40 0
35 37 0
35 29 0
35 27 0
35 24 0
35 23 0
35 21 0
35 19 0
35 9 0
35 7 0
35 6 0
35 1 0
36 119 0
36 118 0
36 116 0
36 111 0
36 109 0
36 108 0
36 107 0
36 104 0
36 102 0
36 101 0
36 97 0
36 89 0
36 86 0
36 79 0
36 78 0
36 76 0
36 73 0
36 71 0
36 56 0
36 54 0
36 53 0
36 47 0
36 46 0
36 43 0
36 34 0
36 32 0
36 31 0
36 30 0
36 28 0
36 15 0
36 14 0
36 11 0
36 4 0
36 2 0
36 0 0
37 127 0
37 126 0
37 125 0
37 122 0
37 121 0
37 117 0
37 115 0
37 114 0
37 112 0
37 110 0
37 106 0
37 99 0
37 98 0
37 95 0
37 93 0
37 92 0
37 91 0
37 90 0
37 88 0
37 87 0
37 85 0
37 83 0
37 82 0
37 81 0
37 75 0
37 74 0
37 70 0
37 68 0
37 67 0
37 65 0
37 61 0
37 60 0
37 59 0
37 57 0
37 52 0
37 51 0
37 45 0
37 44 0
37 42 0
37 40 0
37 35 0
37 29 0
37 27 0
37 26 0
37 24 0
37 23 0
37 21 0
37 19 0
37 13 0
37 12 0
37 9 0
37 7 0
37 6 0
37 5 0
37 1 0
38 127 0
38 125 0
38 124 0
38 122 0
38 121 0
38 120 0
38 116 0
38 114 0
38 113 0
38 112 0
38 109 0
38 108 0
38 107 0
38 106 0
38 104 0
38 102 0
38 101 0
38 100 0
38 99 0
38 98 0
38 97 0
38 96 0
38 93 0
38 91 0
38 90 0
38 89 0
38 87 0
38 82 0
38 79 0
38 78 0
38 77 0
38 75 0
38 73 0
38 72 0
38 68 0
38 67 0
38 65 0
38 64 0
38 63 0
38 61 0
38 56 0
38 54 0
38 51 0
38 50 0
38 44 0
38 42 0
38 34 0
38 33 0
38 32 0
38 31 0
38 30 0
38 27 0
38 26 0
38 19 0
38 18 0
38 15 0
38 13 0
38 11 0
38 7 0
38 6 0
38 0 0
39 123 0
39 111 0
39 103 0
39 84 0
39 80 0
39 76 0
39 58 0
39 53 0
39 48 0
39 47 0
39 41 0
39 28 0
39 25 0
39 20 0
39 17 0
39 14 0
39 10 0
39 8 0
39 4 0
39 3 0
39 2 0
40 127 0
40 126 0
40 125 0
40 122 0
40 121 0
40 117 0
40 115 0
40 114 0
40 112 0
40 110 0
40 106 0
40 98 0
40 95 0
40 93 0
40 92 0
40 91 0
40 90 0
40 88 0
40 87 0
40 85 0
40 83 0
40 82 0
40 81 0
40 75 0
40 74 0
40 70 0
40 69 0
40 68 0
40 67 0
40 65 0
40 61 0
40 60 0
40 59 0
40 57 0
40 55 0
40 52 0
40 51 0
40 45 0
40 44 0
40 42 0
40 37 0
40 35 0
40 29 0
40 27 0
40 26 0
40 24 0
40 23 0
40 22 0
40 21 0
40 19 0
40 12 0
40 9 0
40 7 0
40 6 0
40 5 0
40 1 0
41 123 0
41 103 0
41 86 0
41 84 0
41 80 0
41 62 0
41 58 0
41 49 0
41 48 0
41 47 0
41 39 0
41 34 0
41 25 0
41 20 0
41 17 0
41 16 0
41 10 0
41 8 0
41 4 0
41 3 0
41 2 0
42 127 0
42 126 0
42 125 0
42 124 0
42 122 0
42 121 0
42 117 0
42 116 0
42 115 0
42 114 0
42 113 0
42 112 0
42 110 0
42 109 0
42 108 0
42 107 0
42 106 0
42 104 0
42 102 0
42 101 0
42 100 0
42 99 0
42 98 0
42 97 0
42 96 0
42 95 0
42 93 0
42 92 0
42 91 0
42 90 0
42 89 0
42 87 0
42 85 0
42 82 0
42 81 0
42 79 0
42 78 0
42 77 0
42 75 0
42 74 0
42 73 0
42 72 0
42 70 0
42 69 0
42 68 0
42 67 0
42 66 0
42 65 0
42 64 0
42 63 0
42 61 0
42 57 0
42 56 0
42 54 0
42 52 0
42 51 0
42 50 0
42 45 0
42 44 0
42 40 0
42 38 0
42 37 0
42 32 0
42 30 0
42 29 0
42 27 0
42 26 0
42 24 0
42 23 0
42 19 0
42 18 0
42 15 0
42 13 0
42 9 0
42 7 0
42 6 0
42 1 0
42 0 0
43 127 0
43 121 0
43 119 0
43 118 0
43 116 0
43 113 0
43 111 0
43 109 0
43 108 0
43 107 0
43 104 0
43 102 0
43 101 0
43 97 0
43 89 0
43 88 0
43 87 0
43 79 0
43 78 0
43 75 0
43 73 0
43 71 0
43 70 0
43 69 0
43 66 0
43 63 0
43 56 0
43 54 0
43 46 0
43 36 0
43 32 0
43 31 0
43 30 0
43 26 0
43 22 0
43 15 0
43 11 0
43 0 0
44 127 0
44 126 0
44 125 0
44 124 0
44 122 0
44 121 0
44 117 0
44 115 0
44 114 0
44 113 0
44 112 0
44 110 0
44 109 0
44 107 0
44 106 0
44 100 0
44 99 0
44 98 0
44 95 0
44 93 0
44 92 0
44 91 0
44 90 0
44 89 0
44 88 0
44 87 0
44 85 0
44 83 0
44 82 0
44 81 0
44 78 0
44 77 0
44 75 0
44 74 0
44 73 0
44 72 0
44 70 0
44 69 0
44 68 0
44 67 0
44 65 0
44 63 0
44 61 0
44 60 0
44 59 0
44 57 0
44 52 0
44 51 0
44 45 0
44 42 0
44 40 0
44 38 0
44 37 0
44 35 0
44 29 0
44 27 0
44 26 0
44 24 0
44 23 0
44 22 0
44 21 0
44 19 0
44 18 0
44 13 0
44 12 0
44 9 0
44 7 0
44 6 0
44 5 0
44 1 0
45 127 0
45 126 0
45 125 0
45 122 0
45 117 0
45 115 0
45 114 0
45 112 0
45 110 0
45 106 0
45 99 0
45 98 0
45 95 0
45 93 0
45 92 0
45 91 0
45 90 0
45 87 0
45 85 0
45 83 0
45 82 0
45 81 0
45 75 0
45 74 0
45 72 0
45 68 0
45 67 0
45 65 0
45 61 0
45 60 0
45 57 0
45 52 0
45 51 0
45 44 0
45 42 0
45 40 0
45 37 0
45 35 0
45 29 0
45 27 0
45 26 0
45 24 0
45 23 0
45 21 0
45 19 0
45 13 0
45 9 0
45 7 0
45 6 0
45 1 0
46 119 0
46 118 0
46 116 0
46 111 0
46 109 0
46 108 0
46 107 0
46 102 0
46 101 0
46 97 0
46 89 0
46 86 0
46 79 0
46 78 0
46 76 0
46 73 0
46 71 0
46 66 0
46 56 0
46 54 0
46 53 0
46 47 0
46 43 0
46 36 0
46 34 0
46 32 0
46 31 0
46 30 0
46 28 0
46 15 0
46 11 0
46 4 0
46 0 0
47 123 0
47 111 0
47 103 0
47 86 0
47 80 0
47 76 0
47 62 0
47 53 0
47 48 0
47 46 0
47 41 0
47 39 0
47 36 0
47 34 0
47 32 0
47 31 0
47 28 0
47 25 0
47 20 0
47 17 0
47 15 0
47 14 0
47 11 0
47 8 0
47 4 0
47 3 0
47 2 0
48 123 0
48 103 0
48 84 0
48 80 0
48 76 0
48 62 0
48 58 0
48 53 0
48 49 0
48 47 0
48 41 0
48 39 0
48 28 0
48 25 0
48 20 0
48 17 0
48 16 0
48 14 0
48 10 0
48 8 0
48 4 0
48 3 0
48 2 0
49 123 0
49 103 0
49 86 0
49 84 0
49 80 0
49 62 0
49 58 0
49 48 0
49 41 0
49 34 0
49 33 0
49 25 0
49 20 0
49 17 0
49 16 0
49 10 0
49 8 0
49 4 0
49 3 0
49 2 0
50 127 0
50 124 0
50 120 0
50 116 0
50 113 0
50 109 0
50 104 0
50 101 0
50 100 0
50 99 0
50 96 0
50 90 0
50 89 0
50 79 0
50 78 0
50 77 0
50 73 0
50 72 0
50 64 0
50 61 0
50 42 0
50 38 0
50 34 0
50 33 0
50 32 0
50 18 0
50 15 0
50 13 0
50 7 0
50 6 0
51 127 0
51 126 0
51 125 0
51 124 0
51 122 0
51 121 0
51 117 0
51 116 0
51 115 0
51 114 0
51 113 0
51 112 0
51 110 0
51 109 0
51 108 0
51 107 0
51 106 0
51 104 0
51 101 0
51 100 0
51 99 0
51 98 0
51 96 0
51 95 0
51 93 0
51 92 0
51 91 0
51 90 0
51 89 0
51 88 0
51 87 0
51 85 0
51 83 0
51 82 0
51 81 0
51 79 0
51 78 0
51 77 0
51 75 0
51 74 0
51 73 0
51 72 0
51 70 0
51 69 0
51 68 0
51 67 0
51 66 0
51 65 0
51 63 0
51 61 0
51 60 0
51 57 0
51 54 0
51 52 0
51 45 0
51 44 0
51 42 0
51 40 0
51 38 0
51 37 0
51 35 0
51 29 0
51 27 0
51 26 0
51 24 0
51 23 0
51 22 0
51 21 0
51 19 0
51 18 0
51 13 0
51 12 0
51 9 0
51 7 0
51 6 0
51 5 0
51 1 0
52 127 0
52 126 0
52 125 0
52 122 0
52 117 0
52 115 0
52 114 0
52 113 0
52 112 0
52 110 0
52 106 0
52 99 0
52 98 0
52 95 0
52 93 0
52 92 0
52 91 0
52 90 0
52 87 0
52 85 0
52 83 0
52 82 0
52 81 0
